System,Title,Status,result,iStatus,Detail,Open Date,Closed Date,Status
10.23.67.85,MBSS-OS-Red Hat Linux  77-82 - 4.2.1.5 Ensure remote rsyslog messages are only accepted on designated log hosts. - InputTCPServerRun 514,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  77-82 - 4.2.1.5 Ensure remote rsyslog messages are only accepted on designated log hosts. - imtcp,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  77-82 - 4.2.1.4 Ensure rsyslog is configured to send logs to a remote log host,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  77-82 - 4.2.1.3 Ensure rsyslog default file permissions configured,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  77-82 - 4.2.1.2 Ensure logging is configured,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  77-82 - 4.2.1.1 Ensure rsyslog Service is enabled,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  55 - 2.3.4 Ensure telnet client is not installed,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 64 Remove xinetd - 2.1.7 Ensure xinetd is not enabled,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 63 Remove talk-server - 2.2.18 Ensure talk server is not enabled,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  57 - 2.3.2 Ensure rsh client is not installed,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  58 - 2.3.1 Ensure NIS Client is not installed,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  59 - 2.2.16 Ensure NIS Server is not enabled,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  76 - 2.2.5 Ensure DHCP Server is not enabled,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  75 - 2.2.4 Ensure CUPS is not enabled,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  74 - 2.2.3 Ensure Avahi Server is not enabled,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  73 - 2.2.2 Ensure X Window System is not installed,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  06 - 2.2.1.2 Ensure ntp is configured - NTP Server,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  06 - 2.2.1.2 Ensure ntp is configured - restrict -6,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  06 - 2.2.1.2 Ensure ntp is configured - restrict -4,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,2.2.1.1 Ensure time synchronization is in use,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 63 Remove talk-server,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 60 Remove tftp,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 61 Ensure tftp server is not enabled,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,"MBSS-OS-Red Hat Linux  56, MBSS-OS-Red Hat Linux  57 - 2.1.6 Ensure tftp server is not enabled",PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 71 Disable tcpmux-server,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  70 - 2.1.4 Ensure echo services are not enabled - echo-dgram,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  69 - 2.1.4 Ensure echo services are not enabled - echo-stream,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  68 - 2.1.2 Ensure daytime services are not enabled - daytime-dgram,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  67 - 2.1.2 Ensure daytime services are not enabled - daytime-stream,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  66 - 2.1.1 Ensure chargen services are not enabled - chargen-dgram,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  65 - 2.1.1 Ensure chargen services are not enabled - chargen-stream,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  54 - 2.1.8 Ensure telnet server is not enabled,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,"MBSS-OS-Red Hat Linux  35, MBSS-OS-Red Hat Linux  53 - 1.8 Ensure updates, patches, and additional security software are installed",WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,1.7.2 Ensure GDM login banner is configured - banner message text,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
10.23.67.85,1.7.2 Ensure GDM login banner is configured - banner message enabled,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.651Z,,open
